Game_Date,Pitcher,line,odds,Predicted_K,edge,bet_recommendation,confidence,predicted_so,Pitcher_clean,Pitcher_fuzzy,Strikeouts,Result
2025-05-31,davis martin,3.5,-111,0.8495185574806601,-2.65048144251934,✅ Under,🔥🔥🔥🔥🔥,,davis martin,davis martin,2.0,Over
2025-05-31,edward cabrera,5.5,-103,0.9551405047255992,-4.544859495274401,✅ Under,🔥🔥🔥🔥🔥,,edward cabrera,edward cabrera,10.0,Over
2025-05-31,gunnar hoglund,3.5,-132,0.8495185574806601,-2.65048144251934,✅ Under,🔥🔥🔥🔥🔥,,gunnar hoglund,gunnar hoglund,2.0,Over
2025-05-31,jesus luzardo,6.5,113,0.91782019352471,-5.58217980647529,✅ Under,🔥🔥🔥🔥🔥,,jesus luzardo,jesús luzardo,10.0,Over
2025-05-31,kyle hendricks,3.5,-102,1.1022776618138808,-2.397722338186119,✅ Under,🔥🔥🔥🔥,,kyle hendricks,kyle hendricks,5.0,Over
2025-05-31,landon knack,4.5,-106,0.9537011107862052,-3.5462988892137948,✅ Under,🔥🔥🔥🔥🔥,,landon knack,landon knack,5.0,Over
2025-05-31,michael wacha,4.5,104,0.8691747016277694,-3.630825298372231,✅ Under,🔥🔥🔥🔥🔥,,michael wacha,michael wacha,1.0,Over
2025-05-31,nick lodolo,4.5,-130,0.8984205894146708,-3.6015794105853294,✅ Under,🔥🔥🔥🔥🔥,,nick lodolo,nick lodolo,6.0,Over
2025-05-31,patrick corbin,4.5,118,0.8984205894146708,-3.6015794105853294,✅ Under,🔥🔥🔥🔥🔥,,patrick corbin,patrick corbin,6.0,Over
2025-05-31,slade cecconi,5.5,-106,0.9551405047255992,-4.544859495274401,✅ Under,🔥🔥🔥🔥🔥,,slade cecconi,slade cecconi,6.0,Over
2025-05-31,walker buehler,4.5,118,0.8357255968181343,-3.6642744031818655,✅ Under,🔥🔥🔥🔥🔥,,walker buehler,walker buehler,3.0,Over
2025-05-31,will warren,5.5,141,1.0153329882677709,-4.484667011732229,✅ Under,🔥🔥🔥🔥🔥,,will warren,will warren,7.0,Over
2025-05-31,zack littell,3.5,-116,0.8623048178883206,-2.6376951821116794,✅ Under,🔥🔥🔥🔥🔥,,zack littell,zack littell,4.0,Over
2025-06-01,bailey falter,3.5,117,0.8738645619490416,-2.6261354380509583,✅ Under,🔥🔥🔥🔥🔥,,bailey falter,bailey falter,1.0,Over
2025-06-01,brandon pfaadt,4.5,-118,0.965770005303514,-3.534229994696486,✅ Under,🔥🔥🔥🔥🔥,,brandon pfaadt,brandon pfaadt,5.0,Over
2025-06-01,dylan cease,7.5,105,0.9937558621473904,-6.50624413785261,✅ Under,🔥🔥🔥🔥🔥,,dylan cease,dylan cease,8.0,Over
2025-06-01,michael soroka,4.5,124,1.006253649481712,-3.493746350518288,✅ Under,🔥🔥🔥🔥🔥,,michael soroka,michael soroka,2.0,Over
2025-06-01,adrian houser,3.5,-113,0.7266161616161617,-2.7733838383838383,✅ Under,🔥🔥🔥🔥🔥,,adrian houser,adrian houser,6.0,Over
2025-06-01,andrew heaney,3.5,-132,0.8306267514303406,-2.66937324856966,✅ Under,🔥🔥🔥🔥🔥,,andrew heaney,andrew heaney,2.0,Over
