Rk,Player,SO,Date,Age,Team,Unnamed: 6,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Pos
125,Tyler Anderson,7,2025-05-06,35-127,LAA,,TOR,"W, 8-3",GS-7,6.2,6,2,2,0,1,1,1,7,0,1,0,27,7,P
126,Brayan Bello,7,2025-05-23 (1),26-006,BOS,,BAL,"W, 19-5",GS-4,4.0,6,2,2,0,0,1,0,7,0,0,0,18,7,P
127,Valente Bellozo,7,2025-05-07,25-123,MIA,,LAD,"L, 1-10",GS-6,5.1,1,0,0,0,0,2,0,7,0,0,0,18,3,P
128,Tanner Bibee,7,2025-05-27,26-083,CLE,,LAD,"L, 5-9","GS-5, L",5.0,7,4,4,0,1,3,1,7,0,0,0,23,10,P
129,Matthew Boyd,7,2025-05-05,34-092,CHC,,SFG,"W, 9-2","GS-6, W",6.0,5,2,2,0,1,0,0,7,1,0,0,23,6,P
130,Taj Bradley,7,2025-05-21,24-062,TBR,,HOU,"W, 8-4","GS-6, W",6.0,4,2,2,0,1,2,0,7,1,0,0,23,7,P
131,Kris Bubic,7,2025-05-08,27-262,KCR,,CHW,"W, 10-0","GS-7, W",7.0,6,0,0,0,0,1,0,7,0,0,0,25,7,P
132,Edward Cabrera,7,2025-05-19,27-036,MIA,,CHC,"W, 8-7",GS-5,5.0,5,3,3,0,1,1,0,7,0,0,1,21,6,P
133,Jacob deGrom,7,2025-05-15,36-330,TEX,,HOU,"W, 1-0","GS-8, W",8.0,5,0,0,0,0,1,0,7,0,0,0,30,6,P
134,Hunter Dobbins,7,2025-05-24 (1),25-267,BOS,,BAL,"W, 6-5 (10)",GS-5,4.0,5,4,4,0,0,1,0,7,0,0,0,18,6,P
135,Chase Dollander,7,2025-05-12,23-198,COL,@,TEX,"L, 1-2","GS-6, L",6.0,1,2,2,0,1,3,0,7,0,0,0,22,4,P
136,Nathan Eovaldi,7,2025-05-06,35-082,TEX,@,BOS,"W, 6-1","GS-6, W",6.0,5,1,1,0,0,1,0,7,0,0,1,23,6,P
137,Nathan Eovaldi,7,2025-05-11,35-087,TEX,@,DET,"W, 6-1","GS-7, W",7.0,2,0,0,0,0,1,0,7,0,0,0,24,3,P
138,Logan Evans,7,2025-05-21,23-350,SEA,@,CHW,"W, 6-5",GS-6,6.0,6,4,4,0,3,1,0,7,0,0,0,24,7,P
139,Max Fried,7,2025-05-24,31-126,NYY,@,COL,"W, 13-1","GS-8, W",7.1,6,1,1,0,0,1,0,7,0,0,1,26,7,P
