Rk,Team,Date,HR,Unnamed: 4,Opp,Result,PA,AB,R,H,1B,2B,3B,HR.1,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Unnamed: 3
248,CHC,2025-05-12,2.0,,MIA,W 5-2,34.0,31.0,5.0,8.0,3.0,2.0,1.0,2.0,5.0,1.0,1.0,3.0,4.0,0.258,0.324,0.581,0.904,18.0,0.0,0.0,0.0,0.0,0.0,
249,CHC,2025-05-09,2.0,@,NYM,L 2-7,35.0,30.0,2.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,5.0,11.0,0.167,0.286,0.4,0.686,12.0,1.0,0.0,0.0,0.0,0.0,
250,CHC,2025-05-05,2.0,,SFG,W 9-2,39.0,35.0,9.0,9.0,5.0,2.0,0.0,2.0,9.0,1.0,0.0,3.0,5.0,0.257,0.308,0.486,0.793,17.0,1.0,0.0,0.0,1.0,0.0,
251,CHC,2025-04-19,2.0,,ARI,W 6-2,35.0,32.0,6.0,8.0,3.0,2.0,1.0,2.0,6.0,0.0,0.0,3.0,8.0,0.25,0.314,0.563,0.877,18.0,0.0,0.0,0.0,0.0,0.0,
252,CHC,2025-04-05,2.0,,SDP,W 7-1,44.0,36.0,7.0,11.0,7.0,2.0,0.0,2.0,7.0,1.0,1.0,8.0,8.0,0.306,0.432,0.528,0.96,19.0,0.0,0.0,0.0,0.0,0.0,
253,CHC,2025-04-02,2.0,@,ATH,W 10-2,47.0,38.0,10.0,11.0,8.0,1.0,0.0,2.0,10.0,4.0,0.0,7.0,9.0,0.289,0.404,0.474,0.878,18.0,0.0,1.0,0.0,1.0,0.0,
254,CHC,2025-04-01,2.0,@,ATH,W 7-4,40.0,36.0,7.0,9.0,5.0,2.0,0.0,2.0,7.0,1.0,0.0,3.0,8.0,0.25,0.3,0.472,0.772,17.0,0.0,0.0,0.0,1.0,1.0,
255,CHC,2025-03-29,2.0,@,ARI,W 4-3,37.0,36.0,4.0,8.0,4.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,9.0,0.222,0.243,0.444,0.688,16.0,0.0,0.0,0.0,0.0,0.0,
256,CHW,2025-05-25,2.0,,TEX,L 4-5,36.0,34.0,4.0,9.0,3.0,4.0,0.0,2.0,4.0,1.0,1.0,1.0,11.0,0.265,0.278,0.559,0.837,19.0,0.0,0.0,0.0,1.0,0.0,
257,CHW,2025-05-24,2.0,,TEX,W 10-5,48.0,40.0,10.0,13.0,6.0,5.0,0.0,2.0,10.0,1.0,0.0,8.0,6.0,0.325,0.438,0.6,1.038,24.0,0.0,0.0,0.0,0.0,0.0,
258,CHW,2025-05-17,2.0,@,CHC,L 3-7,34.0,32.0,3.0,6.0,4.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,12.0,0.188,0.206,0.375,0.581,12.0,0.0,0.0,0.0,1.0,0.0,
259,CHW,2025-05-16,2.0,@,CHC,L 3-13,36.0,36.0,3.0,11.0,8.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,4.0,0.306,0.306,0.5,0.806,18.0,1.0,0.0,0.0,0.0,0.0,
260,CHW,2025-05-14,2.0,@,CIN,W 4-2,39.0,35.0,4.0,10.0,5.0,3.0,0.0,2.0,4.0,1.0,0.0,3.0,7.0,0.286,0.342,0.543,0.885,19.0,0.0,0.0,1.0,0.0,0.0,
261,CHW,2025-04-29,2.0,,MIL,L 2-7,35.0,30.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,9.0,0.133,0.235,0.333,0.569,10.0,0.0,1.0,1.0,0.0,0.0,
