Rk,Team,Date,SO,Unnamed: 4,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Wind Speed,Temp,Unnamed: 6
123,NYY,2025-05-13,13.0,@,SEA,L 1-2 (11),10.0,6.0,2.0,1.0,1.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,37.0,8.0,,,
124,NYY,2025-03-27,13.0,,MIL,W 4-2,9.0,7.0,2.0,2.0,0.0,1.0,4.0,0.0,13.0,0.0,0.0,0.0,38.0,11.0,,,
125,ATH,2025-05-19,13.0,,LAA,L 3-4,9.0,8.0,4.0,4.0,0.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,35.0,9.0,,,
126,ATH,2025-03-28,13.0,@,SEA,W 7-0,9.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,34.0,8.0,,,
127,PHI,2025-05-30,13.0,,MIL,L 2-6,9.0,12.0,6.0,6.0,0.0,2.0,4.0,0.0,13.0,0.0,0.0,0.0,43.0,16.0,,,
128,PHI,2025-05-23,13.0,@,ATH,W 4-3,9.0,7.0,3.0,3.0,0.0,1.0,3.0,0.0,13.0,0.0,0.0,0.0,37.0,10.0,,,
129,PHI,2025-05-03,13.0,,ARI,W 7-2,9.0,7.0,2.0,2.0,0.0,1.0,1.0,0.0,13.0,1.0,0.0,0.0,35.0,9.0,,,
130,PHI,2025-04-29,13.0,,WSN,W 7-6,9.0,11.0,6.0,3.0,3.0,2.0,1.0,0.0,13.0,1.0,0.0,1.0,42.0,14.0,,,
131,PHI,2025-03-31,13.0,,COL,W 6-1,9.0,6.0,1.0,1.0,0.0,1.0,4.0,0.0,13.0,0.0,0.0,0.0,37.0,10.0,,,
132,PHI,2025-03-27,13.0,@,WSN,W 7-3 (10),10.0,5.0,3.0,3.0,0.0,1.0,3.0,0.0,13.0,1.0,0.0,0.0,37.0,9.0,,,
133,PIT,2025-04-06,13.0,,NYY,W 5-4 (11),11.0,8.0,4.0,4.0,0.0,0.0,3.0,1.0,13.0,0.0,0.0,0.0,45.0,12.0,,,
134,SDP,2025-03-28,13.0,,ATL,W 4-3,9.0,5.0,3.0,3.0,0.0,1.0,4.0,0.0,13.0,0.0,0.0,1.0,36.0,9.0,,,
135,SEA,2025-05-13,13.0,,NYY,W 2-1 (11),11.0,5.0,1.0,0.0,1.0,0.0,3.0,1.0,13.0,1.0,0.0,0.0,43.0,9.0,,,
136,SEA,2025-04-01,13.0,,DET,L 1-4,9.0,8.0,4.0,4.0,0.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,36.0,9.0,,,
137,SFG,2025-05-27,13.0,@,DET,L 1-3,8.0,7.0,3.0,3.0,0.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,32.0,8.0,,,
138,SFG,2025-04-16,13.0,@,PHI,W 11-4,9.0,7.0,4.0,4.0,0.0,1.0,6.0,0.0,13.0,0.0,0.0,1.0,41.0,13.0,,,
139,SFG,2025-04-14,13.0,@,PHI,W 10-4,9.0,8.0,4.0,4.0,0.0,1.0,4.0,0.0,13.0,0.0,0.0,1.0,39.0,12.0,,,
140,SFG,2025-04-07,13.0,,CIN,L 0-2,9.0,5.0,2.0,2.0,0.0,0.0,3.0,1.0,13.0,1.0,0.0,0.0,35.0,9.0,,,
141,STL,2025-04-06 (1),13.0,@,BOS,L 4-5 (10),9.1,8.0,5.0,4.0,1.0,1.0,8.0,1.0,13.0,0.0,0.0,0.0,42.0,16.0,,,
142,TBR,2025-05-20,13.0,,HOU,W 3-2,9.0,9.0,2.0,2.0,0.0,1.0,1.0,0.0,13.0,1.0,0.0,1.0,38.0,11.0,,,
143,TBR,2025-04-13,13.0,,ATL,W 8-3,9.0,4.0,3.0,0.0,3.0,0.0,2.0,0.0,13.0,1.0,0.0,0.0,34.0,8.0,,,
144,TEX,2025-05-10,13.0,@,DET,W 10-3,9.0,7.0,3.0,3.0,0.0,2.0,3.0,0.0,13.0,0.0,0.0,0.0,34.0,10.0,,,
145,TEX,2025-04-25,13.0,@,SFG,W 2-0,9.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,1.0,32.0,5.0,,,
146,TEX,2025-03-27,13.0,,BOS,L 2-5,9.0,6.0,5.0,5.0,0.0,2.0,3.0,0.0,13.0,0.0,1.0,0.0,36.0,9.0,,,
147,TOR,2025-05-29,13.0,,ATH,W 12-0,9.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,32.0,6.0,,,
148,TOR,2025-05-28,13.0,@,TEX,W 2-0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,31.0,4.0,,,
149,TOR,2025-05-08,13.0,@,LAA,W 8-5,9.0,9.0,5.0,4.0,1.0,2.0,1.0,0.0,13.0,0.0,0.0,0.0,39.0,12.0,,,
150,TOR,2025-04-13,13.0,@,BAL,W 7-6 (10),10.0,9.0,6.0,4.0,2.0,2.0,2.0,0.0,13.0,0.0,0.0,1.0,43.0,13.0,,,
151,WSN,2025-05-23,13.0,,SFG,L 0-4,9.0,7.0,4.0,4.0,0.0,0.0,6.0,0.0,13.0,1.0,0.0,1.0,37.0,14.0,,,
152,WSN,2025-05-04,13.0,@,CIN,W 4-1,9.0,5.0,1.0,1.0,0.0,1.0,4.0,0.0,13.0,0.0,0.0,0.0,35.0,9.0,,,
153,WSN,2025-04-24,13.0,,BAL,L 1-2,9.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,13.0,1.0,0.0,0.0,34.0,7.0,,,
154,ARI,2025-05-14,12.0,@,SFG,W 8-7,9.0,11.0,7.0,7.0,0.0,1.0,7.0,0.0,12.0,0.0,0.0,0.0,45.0,18.0,,,
